origin	dest	capacity	length	fft	alpha	beta	speedLimit	LinkType	NMoto	NCar
5378	5379	2950	0.07	0.08400000000000002	1.1507	3.7967	0	5	0	0
5363	5376	1860	0.77	0.924	1.1507	3.7967	0	5	0	0
5384	17150	1450	0.41	0.49199999999999994	1.1507	3.7967	0	5	0	0
5382	5083	1570	2.43	2.9160000000000004	3.76	3.29	0	5	0	0
5355	5368	1570	0.34	0.40800000000000003	3.76	3.29	0	4	0	0
5071	5368	1570	0.31	0.372	3.76	3.29	0	5	0	0
5382	5071	1570	0.2	0.24	3.76	3.29	0	5	0	0
5355	5382	1300	0.08	0.08	0.8397	5.3445	0	5	0	0
5384	5383	1450	0.25	0.25	0.8397	5.3445	0	6	0	0
5385	5386	1860	0.42	0.6146341463414634	1.5577	3.6819	0	6	0	0
5385	5387	1860	0.6	0.72	1.1507	3.7967	0	5	0	0
5365	5387	3740	0.85	0.9272727272727272	1.2312	2.9971	0	4	0	0
5388	5386	1950	0.63	0.921951219512195	1.5577	3.6819	0	4	0	0
5389	5390	910	1.04	1.248	1.1507	3.7967	0	5	0	0
5392	5393	1860	0.88	1.2878048780487805	1.5577	3.6819	0	4	0	0
5393	17145	1860	0.5	0.7317073170731707	1.5577	3.6819	0	4	0	0
5096	5097	910	1.45	2.121951219512195	1.5577	3.6819	0	6	0	0
5386	5390	2950	0.72	1.0536585365853657	1.5577	3.6819	0	6	0	0
5395	27334	1950	0.36	0.432	1.1507	3.7967	0	6	0	0
5396	15967	1850	0.43	0.80625	1.5554	3.829	0	6	0	0
5398	15971	1950	0.59	0.8634146341463413	1.5577	3.6819	0	6	0	0
5400	5390	1860	0.2	0.24	1.1507	3.7967	0	5	0	0
5397	15970	910	0.37	0.5414634146341463	1.5577	3.6819	0	4	0	0
5399	5401	2500	0.28	0.3054545454545455	1.2312	2.9971	0	4	0	0
5401	5392	1860	0.16	0.23414634146341462	1.5577	3.6819	0	4	0	0
5390	5398	1950	0.28	0.40975609756097564	1.5577	3.6819	0	6	0	0
5402	15973	910	0.25	0.36585365853658536	1.5577	3.6819	0	4	0	0
5387	5405	1860	0.09	0.1317073170731707	1.5577	3.6819	0	4	0	0
5405	5404	5880	0.49	0.48999999999999994	0.8397	5.3445	0	4	0	0
5402	5406	1250	0.16	0.17454545454545456	1.2312	2.9971	0	4	0	0
5405	5406	1860	0.56	0.8195121951219513	1.5577	3.6819	0	4	0	0
5406	15976	910	0.07	0.10243902439024391	1.5577	3.6819	0	4	0	0
5386	5405	3920	0.56	0.56	0.8397	5.3445	0	4	0	0
5402	15974	1860	0.15	0.18	1.1507	3.7967	0	5	0	0
5407	10055	910	0.36	0.5268292682926828	1.5577	3.6819	0	4	0	0
5409	13635	770	0.17	0.24878048780487805	1.5577	3.6819	0	5	0	0
5411	5412	1950	0.12	0.17560975609756097	1.5577	3.6819	0	3	0	0
5413	5414	810	0.36	0.5268292682926828	1.5577	3.6819	0	6	0	0
5415	10059	1860	0.52	0.7609756097560976	1.5577	3.6819	0	6	0	0
5413	10058	770	0.16	0.23414634146341462	1.5577	3.6819	0	5	0	0
5417	10494	910	0.59	0.708	1.1507	3.7967	0	5	0	0
5391	5419	1950	0.18	0.2634146341463414	1.5577	3.6819	0	4	0	0
5420	10497	1950	0.63	0.921951219512195	1.5577	3.6819	0	4	0	0
5420	15983	910	0.66	0.792	1.1507	3.7967	0	5	0	0
5421	5420	1950	0.36	0.5268292682926828	1.5577	3.6819	0	4	0	0
5419	15986	1950	0.02	0.029268292682926828	1.5577	3.6819	0	4	0	0
5421	5417	910	0.31	0.372	1.1507	3.7967	0	5	0	0
5353	5415	2950	0.54	0.7902439024390244	1.5577	3.6819	0	3	0	0
5214	10060	2950	0.26	0.3804878048780488	1.5577	3.6819	0	3	0	0
5422	13642	2950	0.04	0.058536585365853655	1.5577	3.6819	0	3	0	0
5391	34933	2950	0.09	0.1317073170731707	1.5577	3.6819	0	3	0	0
5415	13639	2950	0.17	0.24878048780487805	1.5577	3.6819	0	3	0	0
5422	13640	770	0.1	0.14634146341463414	1.5577	3.6819	0	5	0	0
5214	5424	770	0.6	1.125	1.5554	3.829	0	6	0	0
5244	5214	2950	0.65	0.9512195121951219	1.5577	3.6819	0	3	0	0
5244	5424	770	0.35	0.65625	1.5554	3.829	0	4	0	0
